date,sleep_hours,stress_level,academic_pressure,social_interaction_hours,screen_time_hours,mood_score,physical_activity_minutes,sleep_hours_normalized,stress_level_normalized,academic_pressure_normalized,social_interaction_hours_normalized,screen_time_hours_normalized,mood_score_normalized,physical_activity_minutes_normalized,sleep_hours_7d_avg,stress_level_7d_avg,academic_pressure_7d_avg,social_interaction_hours_7d_avg,screen_time_hours_7d_avg,mood_score_7d_avg,physical_activity_minutes_7d_avg,sleep_hours_change,stress_level_change,academic_pressure_change,social_interaction_hours_change,screen_time_hours_change,mood_score_change,physical_activity_minutes_change,sleep_hours_trend,stress_level_trend,academic_pressure_trend,social_interaction_hours_trend,screen_time_hours_trend,mood_score_trend,physical_activity_minutes_trend,behavioral_change_score
2026-01-01,6.996714153011233,4.296586775541206,4.54165152430942,2.6164930592176483,7.423857504677485,6.0009857006917535,52.51334695530012,0.6900498744455752,0.3562387004729298,0.5115611835009546,0.4600279857355781,0.6315307512269552,0.41896808831901244,0.3987858745943048,6.996714153011233,4.296586775541206,4.54165152430942,2.6164930592176483,7.423857504677485,6.0009857006917535,52.51334695530012,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-02,6.361735698828816,9.204556369017876,5.128682046672366,3.662373988639467,4.3631025813694695,6.192896418993952,22.856848871674348,0.508237500521378,0.9999999999999998,0.5817064969560611,0.6589245604353038,0.18380911474131983,0.44685152238087267,0.1225300462552881,6.679224925920025,6.750571572279541,4.835166785490893,3.139433523928558,5.893480043023477,6.096941059842853,37.68509791348723,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-03,7.1476885381006925,5.473005550524132,3.2873300519879436,1.657536287347177,8.525029759684978,4.139950556843019,18.582150038777755,0.7332781307337406,0.510545459092145,0.36168009640636917,0.2776618942957202,0.7926082162373476,0.14857125389834525,0.08271042683657825,6.83537946331358,6.324716231694405,4.319221207656576,2.645467778401431,6.770663281910644,5.44461089217624,31.317448621917407,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-04,8.023029856408025,3.3845781420881993,3.1075867518386584,2.1068054240826783,3.4766680869738944,5.964507394322007,49.649448304863704,0.9839132224083191,0.23661370038491616,0.34020225215446226,0.363100006705316,0.05414309690831848,0.4136680172268523,0.3721081228339872,7.132292061587192,5.5896817092928535,4.0163125937020965,2.5108021898217427,5.947164483176457,5.574585017712683,35.90044854265398,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-05,6.265846625276664,7.145089824206378,7.125051644788396,2.029470216241411,7.056342768840486,6.086144946597362,35.53074429348298,0.4807817341389484,0.7298669370359298,0.8202562246063608,0.3483930668323204,0.5777713673218599,0.4313411972259764,0.24058975337785468,6.959002974325085,5.900763332275558,4.638060403919357,2.4145357951056763,6.1690001403092625,5.676897003489619,35.82650769281978,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-06,6.265863043050819,3.0583127000579555,8.212480057141645,0.7437820622414577,9.942820126457962,4.071297163947264,54.28000988184184,0.4807864350141893,0.19381859724667946,0.9501949653339626,0.10389203161029945,1.0,0.1385963427997512,0.4152426702952471,6.8434796524460415,5.42702156023929,5.233797012789738,2.1360768396283065,6.797970138000712,5.409297030232559,38.90209139099013,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-07,8.079212815507391,5.9177271900095105,5.355979756839332,2.8553443324774914,4.217034614764761,9.231549022289514,49.4647524914709,1.0,0.5688780496084838,0.6088667016130723,0.505450651717559,0.16244255953352532,0.8883488511932847,0.3703876467759002,7.020012961454806,5.49712236449218,5.2512516905111095,2.2388293386067617,6.4292650632527195,5.955333029097838,40.411042976773096,,,,,,,,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,Insufficient history,0.0
2026-01-08,7.2674347291529084,1.5806597522404489,7.507065795784048,2.8132663266158673,4.98066408671501,6.447665841823575,38.54342174686254,0.7675648677406142,0.0,0.8659037699128872,0.49744862108420695,0.27414488311607293,0.48386793535298034,0.2686534075238973,7.0586873294750445,5.109132789734929,5.6748823007217695,2.2669398053779357,6.080237432115223,6.019144477830957,38.415339375567726,0.27072057614167555,-2.715927023300757,2.9654142714746285,0.196773267398219,-2.4431934179624744,0.44668014113182153,-13.96992520843758,Increasing,Decreasing,Increasing,Increasing,Decreasing,Increasing,Decreasing,0.24832576680379906
2026-01-09,6.030525614065048,2.843627902203139,6.223272050095268,2.506136147970953,6.179372457157754,3.117393005594703,23.0641256386319,0.41340264213855193,0.16565913907900534,0.7125009888435787,0.43904126437567775,0.44948975283978515,0.0,0.12446086812069601,7.011371603080221,4.200428723047109,5.831252301210756,2.1017629709967194,6.339704557227835,5.579786847345349,38.444950342275945,-0.331210084763768,-6.3609284668147374,1.0945900034229021,-1.1562378406685139,1.8162698757882847,-3.075503413399249,0.20727676695755193,Decreasing,Decreasing,Increasing,Decreasing,Increasing,Decreasing,Increasing,0.3642419579338692
2026-01-10,7.042560043585965,5.893722471738247,4.209760490789751,2.2184954399498236,5.093743822590842,6.813107217267659,9.703055506282709,0.7031768555977047,0.5657294342116751,0.4719029379884961,0.3843402463532594,0.2906859802206306,0.5369642948779602,0.0,6.9963532467209735,4.260531140363411,5.963028078182444,2.181899992797097,5.8495208519286725,5.9616663702631545,37.17650826620523,-0.1051284945147275,0.4207169212141153,0.9224304388018076,0.5609591526026465,-3.4312859370941364,2.673156660424641,-8.879094532495046,Decreasing,Increasing,Increasing,Increasing,Decreasing,Increasing,Decreasing,0.23653747730312874
